PassengerId,Transported
9089_01,0
2616_01,0
0025_01,0
1499_01,0
2120_01,1
5244_01,0
0452_01,0
4172_04,0
4351_01,0
2668_02,0
8728_01,0
0890_01,0
3096_01,0
7121_02,1
4470_01,0
1810_01,0
0551_01,0
4975_03,1
5582_01,0
8019_01,1
1976_07,1
8247_01,1
8571_01,0
5545_01,1
1049_01,1
8050_01,0
1076_01,1
0346_01,1
4974_02,1
6363_01,1
2180_01,0
4176_03,0
8596_01,1
2949_01,1
0133_01,1
7097_03,0
2773_01,0
3962_02,0
1834_01,1
6191_04,1
7233_01,1
7448_01,0
3221_01,1
5785_01,0
6859_01,1
2416_01,0
9029_01,0
6468_03,1
5090_02,0
0201_01,1
2162_02,1
5517_01,0
1335_01,1
6443_04,1
3422_02,1
1595_01,1
7199_01,0
1292_01,1
2807_02,1
7614_01,1
5496_01,1
5574_01,0
4393_01,1
7778_01,0
3521_01,1
5527_04,1
0301_01,1
8657_01,1
6787_03,1
0889_01,1
7346_01,0
6788_01,0
3894_01,1
8222_01,0
6327_01,1
2822_04,1
8956_02,0
1884_01,1
7631_01,0
6672_02,1
6996_01,0
7646_02,0
0642_03,1
8508_03,1
3543_01,1
9149_01,1
1447_01,0
6030_06,1
0990_01,0
4944_03,0
2693_04,1
5949_01,0
5686_02,0
4923_03,1
1274_01,0
0502_01,0
0849_02,1
6428_02,1
5397_02,1
5427_02,0
1261_01,0
1024_04,1
5863_01,1
1826_01,1
6928_01,0
7419_01,0
4033_01,1
3932_02,1
3055_01,0
5257_01,0
2042_01,0
4273_01,0
6708_05,1
5512_01,0
4182_03,0
7464_01,1
9157_05,0
2251_02,0
8021_01,1
6017_02,1
4655_01,1
3710_03,1
1387_01,0
7721_01,1
5209_01,1
4717_01,1
4764_01,0
6264_01,0
1997_01,1
3745_01,0
2310_03,0
2675_01,1
6599_01,1
4832_01,0
2373_01,0
6449_02,0
0512_02,1
0401_02,0
1452_01,0
6822_01,0
3304_01,1
8614_01,1
5269_01,1
1817_01,0
7314_01,1
6066_02,0
0073_01,1
6268_01,1
2399_01,0
6899_01,1
5695_01,1
7088_01,0
2055_01,0
8117_01,1
8064_02,1
3856_01,1
5721_02,0
0219_01,1
4933_03,0
0696_01,0
0770_06,0
0697_01,1
8018_01,0
7832_01,0
8106_01,0
4920_01,1
7790_01,1
4386_01,1
8465_01,0
4068_01,0
4876_01,0
9052_01,0
6480_01,0
5477_01,0
6967_01,0
5198_01,0
2557_01,1
5299_01,1
6861_01,1
2148_01,0
6834_01,1
7435_01,1
7780_01,0
5097_02,1
2086_02,0
8178_01,1
6730_01,1
8313_01,0
0108_01,1
6787_06,1
0504_03,1
5408_01,0
6503_01,0
1380_01,0
8035_01,1
5646_01,1
0898_01,0
0839_01,0
1656_01,0
6006_01,0
8404_02,1
0453_01,1
6179_01,1
6620_01,1
7936_01,0
4399_01,0
3691_01,0
6854_01,0
9274_01,1
6863_01,1
5142_04,1
6035_02,1
3995_05,0
8448_01,1
3483_01,0
2505_02,0
3383_01,0
5438_01,1
7914_03,0
5058_01,1
5586_01,0
5060_02,1
1397_01,0
0359_01,0
3980_01,1
7092_01,0
1375_01,0
8332_01,1
0581_01,0
3444_04,1
1152_01,1
7697_02,1
8366_04,0
4231_01,1
8845_01,0
1962_02,1
8092_02,1
1186_03,1
0811_02,1
6094_01,1
4318_01,1
7518_01,1
7981_01,0
3688_03,1
1511_02,1
6099_01,1
7120_01,0
6663_02,0
6170_01,0
1772_01,0
6191_01,1
7225_01,0
0436_02,0
5280_01,1
4034_01,0
3606_01,1
5254_04,1
2310_01,1
7104_01,0
2892_05,0
3195_04,1
3903_06,1
1888_01,0
7110_01,0
8932_01,0
6228_01,1
9237_01,1
3164_01,1
9006_01,1
7552_01,0
4961_01,0
1976_03,1
6567_01,1
2943_01,0
9278_01,1
6022_01,0
3206_01,0
5970_01,1
5190_01,0
8282_01,0
0686_02,0
5490_01,0
1328_01,1
3786_01,1
3515_02,1
6010_01,1
2820_01,1
3120_02,0
7290_05,0
3923_03,1
2740_01,0
4512_01,0
2730_02,0
8105_01,0
6866_02,0
1902_01,0
7485_01,0
3850_03,1
8330_01,0
7399_01,0
7068_01,0
4446_01,0
3917_01,0
2835_01,0
8989_02,1
6309_05,1
5060_04,0
5218_01,0
5755_01,1
8850_01,0
